#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
お盆	お 盆[ぼん]	tray		0014
主	主[おも]	main		0046
思いがけない	思[おも]いがけない	unexpected		0107
思い切って	思[おも]い 切[き]って	daringly		0011 0137
思い切り	思[おも]い 切[き]り	to one's heart's content		0137
思い込む	思[おも]い 込[こ]む	to be under the impression		0160
思いっ切り	思[おも]いっ 切[き]り	with all one's heart		0137
思いつく	思[おも]いつく	to hit upon, to come up with		0042
思いのほか	思[おも]いのほか	unexpectedly		0071 0136
面白み	面[おも] 白[しろ]み	fun		0179
主に	主[おも]に	mainly		0063 0137
重み	重[おも]み	dignity, weight		0179
思わず	思[おも]わず	accidentally, automatically		0107 0136
親孝行	親[おや] 孝[こう] 行[こう]	dutiful to one's parents		0002
およそ	およそ	about		0079 0107 0137
及ぶ	及[およ]ぶ	to reach, to extend		0070
及ぼす	及[およ]ぼす	to exert, to cause		0070
お詫び	お 詫[わ]び	apology		0113
恩	恩[おん]	obligation, debt of gratitude		0010
音声	音[おん] 声[せい]	sound		0046
温泉街	温[おん] 泉[せん] 街[がい]	spa town		0172
温暖	温[おん] 暖[だん]	warm		0034
温暖化	温[おん] 暖[だん] 化[か]	global warming		0070 0173
おんぶ	おんぶ	piggyback ride		0018
オンライン～	オンライン～	online ～		0051
オンラインショッピング	オンラインショッピング	online shopping		0050 0051
オンラインショップ	オンラインショップ	online shop		0051
～化	～ 化[か]	-ise, -ify, turn into ～		0071 0173
～家	～ 家[か]	-er, -or, -ist (performer of an activity)		0172
～界	～ 界[かい]	～ world		0043
～街	～ 街[がい]	～ area [town]		0172
会員証	会[かい] 員[いん] 証[しょう]	membership card		0173
開花	開[かい] 花[か]	blooming		0070
改革	改[かい] 革[かく]	reform		0119
海岸沿い	海[かい] 岸[がん] 沿[ぞ]い	along the coast		0161
会計士	会[かい] 計[けい] 士[し]	accountant		0043 0172
解決	解[かい] 決[けつ]	solution		0070
解決済み	解[かい] 決[けつ] 済[ず]み	resolved		0161
外交官	外[がい] 交[こう] 官[かん]	diplomat		0172
外交政策	外[がい] 交[こう] 政[せい] 策[さく]	foreign policy		0066 0067
回収	回[かい] 収[しゅう]	collection		0070
解消	解[かい] 消[しょう]	dissolution, getting rid of		0054
外相	外[がい] 相[しょう]	foreign minister		0066 0067
